SVY 326 - Equation 2-28 Rotation Sweep Results
=====================================

Test vector: [(1, 0, 0)]_HA
-------------------------------------
 Phi (deg)     X        Y        Z   
   0.0000   -0.0000   0.0000  -1.0000
  15.0000   -0.2588   0.0000  -0.9659
  30.0000   -0.5000   0.0000  -0.8660
  45.0000   -0.7071   0.0000  -0.7071
  60.0000   -0.8660   0.0000  -0.5000
  75.0000   -0.9659   0.0000  -0.2588
  90.0000   -1.0000   0.0000   0.0000
 105.0000   -0.9659   0.0000   0.2588
 120.0000   -0.8660   0.0000   0.5000
 135.0000   -0.7071   0.0000   0.7071
 150.0000   -0.5000   0.0000   0.8660
 165.0000   -0.2588   0.0000   0.9659
 180.0000   -0.0000   0.0000   1.0000
 195.0000    0.2588   0.0000   0.9659
 210.0000    0.5000   0.0000   0.8660
 225.0000    0.7071   0.0000   0.7071
 240.0000    0.8660   0.0000   0.5000
 255.0000    0.9659   0.0000   0.2588
 270.0000    1.0000   0.0000   0.0000
 285.0000    0.9659   0.0000  -0.2588
 300.0000    0.8660   0.0000  -0.5000
 315.0000    0.7071   0.0000  -0.7071
 330.0000    0.5000   0.0000  -0.8660
 345.0000    0.2588   0.0000  -0.9659
 360.0000    0.0000   0.0000  -1.0000

Test vector: [(0, 1, 0)]_HA
-------------------------------------
 Phi (deg)     X        Y        Z   
   0.0000    0.0000  -1.0000   0.0000
  15.0000    0.0000  -1.0000   0.0000
  30.0000    0.0000  -1.0000   0.0000
  45.0000    0.0000  -1.0000   0.0000
  60.0000    0.0000  -1.0000   0.0000
  75.0000    0.0000  -1.0000   0.0000
  90.0000    0.0000  -1.0000   0.0000
 105.0000    0.0000  -1.0000   0.0000
 120.0000    0.0000  -1.0000   0.0000
 135.0000    0.0000  -1.0000   0.0000
 150.0000    0.0000  -1.0000   0.0000
 165.0000    0.0000  -1.0000   0.0000
 180.0000    0.0000  -1.0000   0.0000
 195.0000    0.0000  -1.0000   0.0000
 210.0000    0.0000  -1.0000   0.0000
 225.0000    0.0000  -1.0000   0.0000
 240.0000    0.0000  -1.0000   0.0000
 255.0000    0.0000  -1.0000   0.0000
 270.0000    0.0000  -1.0000   0.0000
 285.0000    0.0000  -1.0000   0.0000
 300.0000    0.0000  -1.0000   0.0000
 315.0000    0.0000  -1.0000   0.0000
 330.0000    0.0000  -1.0000   0.0000
 345.0000    0.0000  -1.0000   0.0000
 360.0000    0.0000  -1.0000   0.0000

Test vector: [(1, 1, 1)]_HA
-------------------------------------
 Phi (deg)     X        Y        Z   
   0.0000   -1.0000  -1.0000  -1.0000
  15.0000   -1.2247  -1.0000  -0.7071
  30.0000   -1.3660  -1.0000  -0.3660
  45.0000   -1.4142  -1.0000   0.0000
  60.0000   -1.3660  -1.0000   0.3660
  75.0000   -1.2247  -1.0000   0.7071
  90.0000   -1.0000  -1.0000   1.0000
 105.0000   -0.7071  -1.0000   1.2247
 120.0000   -0.3660  -1.0000   1.3660
 135.0000    0.0000  -1.0000   1.4142
 150.0000    0.3660  -1.0000   1.3660
 165.0000    0.7071  -1.0000   1.2247
 180.0000    1.0000  -1.0000   1.0000
 195.0000    1.2247  -1.0000   0.7071
 210.0000    1.3660  -1.0000   0.3660
 225.0000    1.4142  -1.0000   0.0000
 240.0000    1.3660  -1.0000  -0.3660
 255.0000    1.2247  -1.0000  -0.7071
 270.0000    1.0000  -1.0000  -1.0000
 285.0000    0.7071  -1.0000  -1.2247
 300.0000    0.3660  -1.0000  -1.3660
 315.0000    0.0000  -1.0000  -1.4142
 330.0000   -0.3660  -1.0000  -1.3660
 345.0000   -0.7071  -1.0000  -1.2247
 360.0000   -1.0000  -1.0000  -1.0000
